Plant Category,Seed Name,Average Temperature (2 m),Average Precipitation per day,Average Soil Temperature (0 to 6 cm),Average Soil Moisture (0-3 cm),Average Evapotranspiration,Average Sunshine Duration,Humidity(%),Soil Type,Best Growing Areas,Season,Wind Threshold(km/h),Heat Wave Maximum Temprature (°C),Rainfall Alert Maximum Rain (mm),Watering (hours interval),List of Fertilization,Time Period for Fertilization (weeks interval),Maximum Height of Plant (inches),Maximum area this plant require (inches),Soil depth for sowing (inches),Plant name
Herbaceous plant,Réséda odorant,20,5,18,0.3,4,24000,60,"[""Loamy soil"",""Sandy soil"",""Clay soil""]","[""Mediterranean region"",""Central Europe"",""North Africa""]","[""Spring"",""Summer"",""Autumn""]",40,35,20,48,"[""NPK fertilizer"",""Organic compost""]",4,24,12,0.5,réseda odorant
Annual Flower,Salpiglossis en mélange,18,4,15,0.3,3,5400,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Mediterranean"",""Temperate"",""Subtropical""]","[""Spring"",""Summer"",""Autumn""]",40,35,30,24,"[""NPK 10-10-10"",""Organic compost""]",4,24,24,0.5,"salpiglossis en mélange
le sachet de +/- 70 graines"
Tobacco,Tabac commun,20 °C,5 mm,15 °C,0.3 m³/m³,3 mm/day,600 seconds,50%,"[""Sandy loam"",""Clay loam"",""Silt loam""]","[""North America"",""South America"",""Europe""]","[""Start of summer"",""Spring"",""Autumn""]",30 km/h,35 °C,20 mm,48 hours,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4 weeks,60 in,24 in,0.5 in,"tabac commun
le sachet de +/- 1680 graines"
Flower,Tagète Citron,20,5,18,0.3,3,3600,60,"[""Sandy loam"",""Loam""]","[""Mediterranean"",""Subtropical""]","[""Late spring"",""Summer"",""Early autumn""]",40,35,20,48,"[""10-10-10 NPK"",""5-10-5 NPK""]",4,24,12,0.5,"tagète citron
le sachet de +/- 110 graines"
Annual Flower,Tagète Némagon,22,5,20,0.3,3,3000,60,"[""Loam"",""Sandy Loam"",""Clay""]","[""Europe"",""North America"",""Asia""]","[""Spring"",""Summer"",""Fall""]",30,35,20,48,"[""NPK 10-10-10"",""Organic compost""]",4,24,12,0.5,"tagète némagon
le sachet de +/- 200 graines"
Annual Flower,Oeillet d'Inde nain,20,5,15,0.3,3,6000,50,"[""Well-drained soil"",""Loamy soil""]","[""Full sun areas"",""Moderate climate regions""]","[""Start of summer"",""Late spring"",""Early fall""]",30,35,20,48,"[""All-purpose liquid fertilizer"",""Slow-release granular fertilizer""]",4,12,12,0.5,"oeillet d'inde nain
le sachet de +/- 200 graines"
Flowering plant,Tournesol Nain Jaune,20,5,18,0.3,3,300,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Temperate regions"",""Subtropical regions""]","[""Start of summer"",""Spring"",""Autumn""]",30,35,20,48,"[""Nitrogen-based fertilizer"",""Phosphorus-based fertilizer""]",4,60,12,2,"tournesol nain jaune
le sachet de +/- 160 graines"
Flower,Tournesol Mélange Décoratif,20,5,15,0.3,3,600,65,"[""Loam"",""Sandy Loam"",""Clay""]","[""France"",""Spain"",""Italy""]","[""Spring"",""Summer""]",40,35,20,48,"[""NPK 10-10-10"",""Organic compost""]",4,60,12,1,"tournesol mélange décoratif
le sachet de +/- 160 graines"
Vegetable,Chou Fourrager Cavalier Rouge,15,5,12,0.25,3,3600,70,"[""Loam"",""Silt"",""Clay""]","[""France"",""Belgium"",""Netherlands""]","[""Spring"",""Fall""]",40,30,20,48,"[""NPK 10-10-10"",""Compost""]",4,24,144,0.5,"chou fourrager cavalier rouge
le sachet de +/- 250 graines"
Vegetable,Cresson de Jardin,20,5,18,0.3,3,24000,60,"[""Loamy"",""Sandy""]","[""Europe"",""North America""]","[""Spring"",""Autumn""]",30,35,20,24,"[""Organic compost"",""Liquid seaweed fertilizer""]",4,12,12,0.5,"cresson de jardin
le sachet de +/- 2000 graines"
Vegetable,Chénopode Multicolore,20,3,18,0.3,5,6000,60,"[""Loamy"",""Sandy"",""Clayey""]","[""Temperate regions"",""Mediterranean climates""]","[""Spring"",""Summer"",""Autumn""]",40,35,15,48,"[""Nitrogen-rich fertilizer"",""Potassium-rich fertilizer""]",4,24,16,0.5,"chénopode multicolore
le sachet de +/- 4000 graines"
Vegetable,Chénopode bon-henri,15,5,10,0.3,3,3000,70,"[""Loamy"",""Sandy"",""Clay""]","[""Europe"",""North America""]","[""Spring"",""Summer""]",30,32,50,48,"[""Organic compost"",""Liquid seaweed fertilizer""]",4,24,12,0.5,"chénopode bon-henri
le sachet de +/- 4000 graines"
Cucurbitacea,Gourde Amphore,25,5,20,0.3,3,3600,60,"[""Loamy soil"",""Sandy soil"",""Clay soil""]","[""Mediterranean region"",""Subtropical regions""]","[""Spring"",""Summer""]",40,35,20,48,"[""Nitrogen-based fertilizer"",""Potassium-based fertilizer""]",2,120,24,2,"gourde amphore
le sachet de 12 graines"
Vegetable,Gourde ou courge pèlerine en mélange le sachet de 12 graines,20,5,18,0.3,4,18000,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Temperate regions"",""Mediterranean regions""]","[""Start of summer"",""Spring"",""Autumn""]",30,35,20,48,"[""Nitrogen-based fertilizer"",""Potassium-based fertilizer""]",4,120,36,1,"gourde ou courge pèlerine en mélange
le sachet de 12 graines"
Vegetable,Zucchetta Serpente di Sicilia,25,5,20,0.3,3,3600,60,"[""Loamy"",""Sandy"",""Clayey""]","[""Mediterranean"",""Subtropical"",""Temperate""]","[""Spring"",""Summer"",""Autumn""]",30,35,20,48,"[""NPK 10-10-10"",""Organic compost""]",2,120,48,0.5,"courge serpent "" zucchetta serpente di sicilia ""
le sachet de 12 graines"
Climbing Plant,Coloquinte Indian Mix,22,5,20,0.3,3,10000,60,"[""Sandy"",""Loamy"",""Clayey""]","[""Tropical"",""Subtropical"",""Mediterranean""]","[""Start of Summer"",""Monsoon"",""Autumn""]",40,35,20,48,"[""NPK 10-10-10"",""Compost"",""Bone Meal""]",4,120,36,1,"coloquinte indian mix
le sachet de 12 graines"
Vegetable,Coloquintes en mélange,25,5,20,0.3,3,6000,60,"[""loam"",""sandy loam"",""clay loam""]","[""France"",""Spain"",""Italy""]","[""Spring"",""Summer""]",40,35,20,24,"[""compost"",""liquid fertilizer""]",2,60,48,2,"coloquintes en mélange
le sachet de 12 graines"
Maize,Maïs à grains pop corn 'cinema',20,5,18,0.3,4,300,60,"[""loamy"",""sandy""]","[""Temperate regions"",""Corn Belt"",""Tropical regions""]","[""Late spring"",""Summer""]",30,35,20,Every 3 days,"[""Nitrogen-based"",""Phosphorus-based"",""Potassium-based""]",Every 4 weeks,120,24,2,"maïs à grains pop corn 'cinema'
le sachet de +/- 85 graines"
Corn,Maïs Pop Corn Fraise,25,5,20,0.3,4,600,60,"[""Sandy loam"",""Loam"",""Clay loam""]","[""North America"",""South America"",""Europe""]","[""Summer"",""Fall""]",40,35,50,24,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,96,36,2,"maïs pop corn fraise
le sachet de +/- 90 graines"
Green Manure,Moutarde blanche,15-25,5-15,10-20,0.2-0.4,2-4,18000-22000,40-70,"[""Loam"",""Sandy Loam"",""Clay Loam""]","[""France"",""Germany"",""United States""]","[""Spring"",""Summer"",""Autumn""]",30-50,35-40,20-40,24-48,"[""Compost"",""Manure"",""Organic Fertilizer""]",4-6,24-36,12-18,0.5-1,moutarde blanche (engrais vert)
Engrais vert,Sorgho du Soudan,20-30,5-10,25-35,0.3-0.5,3-5,3000-3500,60-80,"[""Sandy loam"",""Loamy sand"",""Clay loam""]","[""North Africa"",""Sub-Saharan Africa"",""South Asia""]","[""Start of summer"",""Monsoon season""]",30-40,35-40,50-100,48-72,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4-6,60-80,12-18,1-2,sorgho du soudan (engrais vert)
Green manure,Lin bleu,16,5,14,0.25,3,300,60,"[""Sandy loam"",""Loam""]","[""Temperate regions"",""Mediterranean regions""]","[""Spring"",""Summer""]",30,35,20,48,"[""Nitrogen-based fertilizers"",""Phosphorus-based fertilizers""]",4,40,12,1,lin bleu (engrais vert)
Legume,Lotus corniculatus,20,5,15,0.3,3,3600,50,"[""Loam"",""Sandy"",""Clay""]","[""Europe"",""North America"",""Australia""]","[""Spring"",""Summer"",""Autumn""]",40,30,20,48,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,12,24,0.5,lotier corniculé (engrais vert)
Flowering and Green Manure,Mélange Mellifère et Engrais Vert,20,5,18,0.3,3,3600,70,"[""Loam"",""Clay"",""Sandy""]","[""Temperate regions"",""Mediterranean climates""]","[""Spring"",""Summer"",""Autumn""]",40,35,50,48,"[""Organic compost"",""Nitrogen-rich fertilizers""]",4,24,12,1,mélange mellifère et engrais vert
Green Manure,Epinard (Engrais Vert),18,8,15,0.25,5,18000,60,"[""Loamy soil"",""Sandy soil"",""Clay soil""]","[""Mediterranean region"",""Northern Europe"",""North America""]","[""Spring"",""Autumn""]",30,35,20,24,"[""Nitrogen-based fertilizer"",""Compost""]",2,18,12,1,epinard (engrais vert)
Radis fourrager (engrais vert),Radis fourrager,10-20,2-5,10-15,0.3-0.5,2-4,24000,60-80,"[""Loamy"",""Sandy""]","[""Europe"",""North America""]","[""Spring"",""Fall""]",40,35,20,24-48,"[""Nitrogen"",""Phosphorus"",""Potassium""]",2-3,8,4-6,0.5-1,radis fourrager (engrais vert)
Green manure,Vesce d'été,20,5,18,0.3,3,3600,60,"[""Loam"",""Clay"",""Sandy""]","[""Temperate regions"",""Mediterranean climates""]","[""Summer""]",40,35,20,48,"[""Compost"",""Organic nitrogen fertilizer""]",4,24,12,1,vesce d'été (engrais vert)
Legume,Luzerne (Engrais Vert),20,5,18,0.3,4,24000,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Europe"",""North America"",""South America""]","[""Spring"",""Summer"",""Autumn""]",40,35,50,48,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,24,12,2,luzerne (engrais vert)
Green Manure,Trèfle Incarnat,15,5,12,0.25,3,18000,70,"[""Loam"",""Silty Clay"",""Sandy Loam""]","[""France"",""United Kingdom"",""Germany""]","[""Spring"",""Summer""]",40,35,20,48,"[""Organic Compost"",""Bone Meal""]",4,20,12,1,trèfle incarnat (engrais vert)
Green manure,Phacelia,20,5,18,0.3,3,3600,60,"[""Sandy loam"",""Loam"",""Clay loam""]","[""Europe"",""North America"",""Asia""]","[""Spring"",""Summer""]",30,35,20,48,"[""Compost"",""Manure"",""Cover crop""]",4,40,24,0.4,phacélie (engrais vert)
Cover Crop,Lupin Bleu,18,5,15,0.2,3,6000,60,"[""Loam"",""Sandy Loam"",""Clay Loam""]","[""North America"",""Europe"",""Australia""]","[""Spring"",""Summer""]",40,35,20,48,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,36,24,2,lupin bleu (engrais vert)
Fast-growing green manure,Mélange Croissance Rapide (Engrais Vert),20.5,8.2,18.3,0.25,5.7,28800,65,"[""Loam"",""Sandy loam"",""Clay""]","[""Temperate regions"",""Subtropical regions""]","[""Start of summer"",""Autumn""]",40,35,30,48,"[""Nitrogen-based fertilizer"",""Phosphorus-based fertilizer""]",4,24,12,0.5,mélange croissance rapide (engrais vert)
Cover Crop,Sarrasin (Engrais Vert),18,5,15,0.3,3,18000,65,"[""Sandy loam"",""Clay loam"",""Silt loam""]","[""Temperate regions"",""Mild climates""]","[""Spring"",""Autumn""]",30,35,20,48,"[""Nitrogen-based fertilizer"",""Phosphorus-based fertilizer""]",4,24,12,0.5,sarrasin (engrais vert)
Green manure,Mélange spécial sol lourd,25,10,20,0.3,5,600,60,"[""Clay"",""Loam"",""Silt""]","[""Region A"",""Region B"",""Region C""]","[""Spring"",""Summer"",""Autumn""]",30,35,50,48,"[""Nitrogen-based fertilizer"",""Organic compost""]",4,24,12,2,mélange spécial sol lourd (engrais vert)
Green Manure,Trèfle Blanc,20,5,15,0.3,3,18000,70,"[""Loam"",""Sandy Loam"",""Clay Loam""]","[""France"",""United Kingdom"",""Germany""]","[""Spring"",""Summer"",""Autumn""]",30,35,20,48,"[""Nitrogen"",""Phosphorus"",""Potassium""]",2,12,24,0.5,trèfle blanc (engrais vert)
Legume,Sainfoin (Engrais Vert),20,5,15,0.3,3,300,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""France"",""United Kingdom"",""Canada""]","[""Spring"",""Summer""]",40,35,20,48,"[""Organic compost"",""Nitrogen-fixing bacteria""]",4,30,12,1,sainfoin (engrais vert)
Green Manure,Féverole d'hiver,15,5,10,0.3,3,18000,50,"[""Loam"",""Clay""]","[""France"",""Germany"",""United Kingdom""]","[""Autumn"",""Winter"",""Early Spring""]",30,35,20,48,"[""Nitrogen"",""Phosphorus"",""Potassium""]",2,36,24,2,féverole d'hiver (engrais vert)
Green manure,Seigle,10 to 20,5 to 10,10 to 15,0.3 to 0.5,2 to 4,1200 to 1600,40 to 60,"[""Loam"",""Silt"",""Clay""]","[""Temperate regions"",""Mild climates""]","[""Spring"",""Autumn""]",30,30,20,24,"[""Nitrogen-based"",""Phosphorus-based""]",4 to 6,36,12,0.5,seigle (engrais vert)
Winter Cover Crop,Mélange Spécial Hiver (Engrais Vert),10,5,8,0.3,3,600,70,"[""Loam"",""Sandy Loam"",""Clay""]","[""Northern Europe"",""North America"",""Temperate Regions""]","[""Late Summer"",""Autumn""]",40,35,20,48,"[""Organic Compost"",""Green Manure""]",4,24,12,2,mélange spécial hiver (engrais vert)
Green Manure,Vesce d'hiver,15,5,10,0.3,3,30000,60,"[""Loam"",""Clay"",""Silt""]","[""France"",""Italy"",""Spain""]","[""Spring"",""Summer"",""Autumn""]",40,35,20,48,"[""Compost"",""Manure""]",4,24,6,1,vesce d'hiver (engrais vert)
Plant,Chataigne de Terre,20,5,18,0.3,3,12000,60,"[""Clay"",""Loam"",""Sandy""]","[""France"",""Spain"",""Italy""]","[""Late Spring"",""Summer""]",30,35,20,48,"[""Nitrogen-based fertilizer"",""Phosphorus-based fertilizer""]",4,60,24,2,"chataigne de terre
le sachet de +/- 850 graines"
Leafy vegetable,Laitue Romaine Ballon,18,3,15,0.3,5,3600,70,"[""Loamy soil"",""Sandy soil"",""Clay soil""]","[""Mediterranean region"",""Temperate regions""]","[""Spring"",""Fall""]",40,30,20,48,"[""Organic compost"",""Nitrogen-rich fertilizer""]",4,12,12,0.25,"laitue romaine ballon
le sachet de +/- 700 graines"
Leafy vegetable,Laitue asperge (laitue romaine celtuce),20,5,18,0.3,4,3000,70,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Mediterranean region"",""North America"",""Asia""]","[""Spring"",""Summer"",""Autumn""]",30,35,20,48,"[""NPK 10-10-10"",""Compost"",""Fish emulsion""]",2,24,12,0.5,"laitue asperge (laitue romaine celtuce)
le sachet de +/- 500 graines"
Vegetable,Laitue Romaine Chicon des Charentes,20,5,15,0.3,3,18000,70,"[""Loamy"",""Sandy"",""Clay""]","[""France"",""Belgium"",""Netherlands""]","[""Spring"",""Summer"",""Autumn""]",40,35,20,48,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,12,12,0.5,"laitue romaine chicon des charentes
le sachet de +/- 700 graines"
Vegetable,Laitue romaine rouge d'hiver,15,5,12,0.3,3,18000,70,"[""Loam"",""Silt"",""Clay""]","[""France"",""Belgium"",""Canada""]","[""Start of summer"",""Spring"",""Autumn""]",40,30,20,24,"[""Nitrogen-based"",""Potassium-based""]",2,20,12,0.5,"laitue romaine rouge d'hiver
le sachet de +/- 700 graines"
Lettuce,Laitue Romaine Queue de Truite (Chicon Panaché),15-20,2-5,15-20,0.2-0.3,3-5,2400-2600,60-70,"[""Loamy"",""Sandy""]","[""France"",""Belgium"",""Netherlands""]","[""Spring"",""Autumn""]",30,35,20,24,"[""NPK 10-10-10"",""Compost""]",2-3,12,12x12,0.5,"laitue romaine queue de truite (chicon panaché)
le sachet de +/- 700 graines"
Lettuce,Laitue Romaine Little Leprechaun,15,5,12,0.25,3,3600,70,"[""Loam"",""Silt"",""Clay""]","[""Mild temperate regions"",""Moderate climates""]","[""Spring"",""Fall""]",40,30,20,48,"[""Nitrogen-based fertilizer"",""Phosphorus-based fertilizer""]",2,10,12,0.5,"laitue romaine little leprechaun
le sachet de +/- 700 graines"
Lettuce,Laitue romaine verte maraîchère,20,3,15,0.4,2,5000,70,"[""Loam"",""Silt"",""Clay""]","[""France"",""Belgium"",""Canada""]","[""Spring"",""Summer"",""Autumn""]",40,32,10,48,"[""Nitrogen"",""Phosphorus"",""Potassium""]",2,12,12,0.5,"laitue romaine verte maraîchère
le sachet de +/- 700 graines"
Vegetable,Chou frisé/kale westlandse winter,8-20,2-5,5-18,0.2-0.4,3-5,18000-22000,40-70,"[""Loamy"",""Sandy"",""Clayey""]","[""Europe"",""North America"",""Asia""]","[""Start summer"",""Autumn"",""Winter""]",40,35,10,48,"[""Nitrogen"",""Phosphorus"",""Potassium""]",2-4,24-36,12x12,0.5-1,"chou frisé/kale westlandse winter
le sachet de +/- 250 graines"
Leafy Vegetable,Chou Frisé/Kale Grand Vert du Nord,12,2,10,0.3,3,18000,70,"[""Loamy"",""Sandy"",""Clayey""]","[""Northern regions"",""Cool temperate climates""]","[""Spring"",""Fall""]",30,30,10,48,"[""Compost"",""Organic Vegetable Fertilizer""]",2,24,12,0.5,"chou frisé/kale grand vert du nord
le sachet de +/- 250 graines"
Vegetable,Chou Palmier Kale Noir de Toscane,15,5,12,0.3,3,3600,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Mediterranean region"",""Temperate regions with mild winters""]","[""Start summer"",""Spring"",""Autumn""]",40,35,40,48,"[""Organic compost"",""Liquid seaweed fertilizer""]",4-6,36,12,0.5,"chou palmier kale noir de toscane
le sachet de +/- 250 graines"
Vegetable,Chou frisé/Kale Red Ursa,15,5,10,0.3,3,18000,50,"[""Sandy loam"",""Loam"",""Clay loam""]","[""Temperate regions"",""Mild climates""]","[""Spring"",""Fall""]",40,30,100,48,"[""Organic compost"",""Fish emulsion"",""Seaweed extract""]",4,24,12,0.5,"chou frisé/kale red ursa
le sachet de +/- 250 graines"
Vegetable,Chou frisé/Kale rouge,16,2,14,0.3,3,18000,50,"[""Loamy"",""Sandy"",""Clayey""]","[""Mediterranean"",""Temperate"",""Cool temperate""]","[""Spring"",""Autumn""]",40,30,15,48,"[""NPK 10-10-10"",""Organic compost""]",4,24,12,0.5,"chou frisé/kale rouge
le sachet de +/- 250 graines"
Vegetable,Chou beurré de Jalhay,15,5,12,0.3,3,300,70,"[""Loam"",""Silt"",""Clay""]","[""Belgium"",""France"",""Netherlands""]","[""Spring"",""Autumn""]",40,30,20,48,"[""Organic compost"",""Liquid seaweed fertilizer""]",2,24,12,0.5,"chou beurré de jalhay
le sachet de +/- 250 graines"
Vegetable,Chou-rave delikatess blanc,18,5,15,0.3,3,6000,65,"[""Loam"",""Silt"",""Clay""]","[""France"",""Germany"",""United Kingdom""]","[""Spring"",""Summer"",""Autumn""]",40,35,20,48,"[""NPK 10-10-10"",""Compost""]",4,20,12,0.5,"chou-rave delikatess blanc
le sachet de +/- 200 graines"
Vegetable,Chou-rave délikatess bleu,15,5,12,0.3,3,6000,50,"[""Sandy loam"",""Loam"",""Clay loam""]","[""France"",""Germany"",""United Kingdom""]","[""Spring"",""Summer"",""Autumn""]",40,30,20,48,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,12,12,0.25,"chou-rave délikatess bleu
le sachet de +/- 200 graines"
Vegetable,Chou-rave superschmelz,18,5,15,0.3,4,3600,70,"[""Loam"",""Sandy loam"",""Clay loam""]","[""France"",""Germany"",""Belgium""]","[""Spring"",""Summer""]",40,35,20,48,"[""Nitrogen-based fertilizer"",""Potassium-based fertilizer""]",4,20,12,0.5,"chou-rave superschmelz
le sachet de +/- 260 graines"
Vegetable,Chou-rave Dyna,15,5,18,0.3,4,600,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Temperate regions"",""Mild climates""]","[""Spring"",""Fall""]",30,35,20,48,"[""NPK 10-10-10"",""Compost""]",2,24,12,1,"chou-rave dyna
le sachet de +/- 200 graines"
Vegetable,Chou-rave Azur Star,20,5,15,0.3,2,18000,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Mediterranean"",""Temperate""]","[""Spring"",""Fall""]",30,35,20,48,"[""Nitrogen-rich fertilizer"",""Potassium-rich fertilizer""]",4,12,12,0.5,"chou-rave azur star
le sachet de +/- 50 graines"
Vegetable,Chou-rave blaril,15,5,12,0.3,4,300,60,"[""Loam"",""Sandy Loam"",""Clay Loam""]","[""Temperate regions"",""Mediterranean climates""]","[""Start of spring"",""Autumn""]",40,30,20,48,"[""NPK 10-10-10"",""Compost""]",4,12,24,0.5,"chou-rave blaril
le sachet de +/- 200 graines"
Lentils,Lentilles Beluga,25,5,20,0.3,4,3600,65,"[""Loam"",""Sandy loam"",""Clay loam""]","[""France"",""Canada"",""United States""]","[""Spring"",""Summer""]",40,35,20,48,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,24,12,2,"lentilles beluga
le sachet de ± 1000 graines"
Lettuce,Laitue Batavia Dorée de Printemps,18,5,15,0.4,3,3600,70,"[""Loam"",""Sandy Loam"",""Clay Loam""]","[""France"",""Belgium"",""Netherlands""]","[""Spring"",""Early Summer""]",30,35,20,24,"[""NPK 20-10-10"",""Organic compost""]",4,12,12,0.5,"laitue batavia dorée de printemps
le sachet de +/- 700 graines"
Leafy vegetable,Laitue Batavia Blonde de Paris,20,5,18,0.4,4,3600,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""France"",""Belgium"",""Netherlands""]","[""Spring"",""Autumn""]",30,35,20,48,"[""Nitrogen-based fertilizer"",""Organic compost""]",2,12,12,0.5,"laitue batavia blonde de paris
le sachet de +/- 700 graines"
Vegetable,Laitue Batavia Pasquier,18,5,15,0.2,4,3600,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""France"",""Europe"",""North America""]","[""Spring"",""Summer"",""Autumn""]",30,35,20,48,"[""Nitrogen"",""Phosphorus"",""Potassium""]",2,12,8,0.2,"laitue batavia pasquier
le sachet de +/- 700 graines"
Vegetable,Laitue Batavia Reine des Glaces,20,5,18,0.3,3,3600,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""France"",""Belgium"",""Netherlands""]","[""Spring"",""Fall""]",40,35,20,24,"[""Compost"",""Organic fertilizer""]",4,10,12,0.5,"laitue batavia reine des glaces
le sachet de +/- 700 graines"
Leafy vegetable,Laitue batavia rouge grenobloise,20,5,18,0.3,3,6000,60,"[""Loam"",""Sandy loam""]","[""Mediterranean region"",""Temperate regions""]","[""Spring"",""Fall""]",40,35,20,48,"[""Nitrogen-based fertilizer"",""Potassium-based fertilizer""]",2,12,8,0.25,"laitue batavia rouge grenobloise
le sachet de +/- 500 graines"
Lettuce,Laitue Batavia Beaujolaise,20,5,18,0.3,3,3600,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Mediterranean region"",""Northern Europe"",""North America""]","[""Spring"",""Autumn""]",40,35,15,24,"[""Nitrogen-based fertilizer"",""Potassium-based fertilizer""]",2,12,8,0.5,"laitue batavia beaujolaise
le sachet de +/- 700 graines"
Lettuce,Laitue Batavia Merveille de Verano,15-20,5-10,10-15,0.2-0.3,4-6,6-8,60-70,"[""Sandy loam"",""Loam"",""Clay loam""]","[""Mediterranean climate regions"",""Cool temperate regions""]","[""Spring"",""Fall""]",30,30,20,48,"[""Nitrogen"",""Phosphorus"",""Potassium""]",2-3,10-12,6-8,0.25-0.5,"laitue batavia merveille de verano
le sachet de +/- 500 graines"
Leafy vegetable,Laitue romaine angèle,20,5,18,0.3,4,18000,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Mediterranean region"",""Temperate regions""]","[""Spring"",""Fall""]",40,35,20,48,"[""Nitrogen-based fertilizers"",""Organic compost""]",4,12,12,0.2,"laitue romaine angèle
le sachet de +/- 700 graines"
